sender,subject,body,label
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@university.edu,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Urgent: Verify Your Account,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@university.edu,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Your account will be suspended,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Confirm your identity now,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Your account will be suspended,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Confirm your identity now,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Project Update,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Urgent: Verify Your Account,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Confirm your identity now,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@gmail.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@university.edu,Project Update,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@company.com,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@secure-login.com,Confirm your identity now,"Dear user, please verify your account here: http://secure-login.com/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@alert-security.org,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://alert-security.org/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Your account will be suspended,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@university.edu,Meeting Reminder,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Urgent: Verify Your Account,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@gmail.com,Project Update,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Urgent: Verify Your Account,"Dear user, please verify your account here: http://verify-account.net/login",phishing
info@company.com,Invoice for your purchase,"Hello, this is a normal business communication.",legitimate
support@update-info.co,Your account will be suspended,"Dear user, please verify your account here: http://update-info.co/login",phishing
info@business.org,Team Schedule,"Hello, this is a normal business communication.",legitimate
support@verify-account.net,Security Alert: Immediate Action Required,"Dear user, please verify your account here: http://verify-account.net/login",phishing
